loss,loss_prime,train_acc,test_acc
7885.344989545576,19387407719.802963,55.525000000000006,55.35
7636.053946889014,27360158994.98575,64.2625,62.150000000000006
6217.051892204817,12718154428.661407,81.2625,78.25
6105.934841083653,18202393259.465904,82.5625,79.60000000000001
5948.285579581135,8481737189.573208,84.25,80.10000000000001
5936.74240272307,10235642796.26139,84.5375,80.55
5933.793523430481,10616473869.061167,84.55,80.5
5874.505244583851,9433500454.766872,85.15,80.60000000000001
5821.534152932272,10029206745.113531,85.3875,80.60000000000001
5805.753874070845,9313066946.918333,85.46249999999999,81.10000000000001
5803.994147174297,10010691783.020752,85.3375,81.10000000000001
5803.593776544513,9711280843.3536,85.39999999999999,81.3
5809.689723746162,12129462866.1921,85.46249999999999,81.10000000000001
5806.358236274358,10740787492.767687,85.5,81.10000000000001
5803.623513273138,9897883336.618494,85.4375,81.35
5802.385156795044,9817679519.877274,85.46249999999999,81.3
5800.430213289483,9307173828.50753,85.46249999999999,81.5
5799.827475098835,9564536038.09799,85.46249999999999,81.25
5798.888987983426,9917278876.382563,85.5,81.15
5797.954578133206,10108913324.239492,85.52499999999999,81.15
5796.671445547384,10012413354.509338,85.5875,81.25
5791.7621539328,10435429464.810732,85.75,81.3
5786.776926267839,10006159902.084858,85.725,81.39999999999999
5782.24057002443,9643588769.200771,85.775,81.15
5788.406586089502,12682740424.66244,85.8,81.3
5781.001508178959,10325481585.574331,85.75,81.3
5778.207227724827,9434862687.627296,85.6875,81.15
5778.329429808579,9469271031.959131,85.725,81.2
5777.796936949257,9040733938.192987,85.8,81.35
5779.984230437298,9880823621.710915,85.8875,81.25
5781.755381852561,10659404201.658102,85.8375,81.35
5783.490958466079,11503773338.547125,85.8375,81.2
5783.886245177927,11884312187.358627,85.85000000000001,81.25
5781.13636949301,11089649023.662373,85.8875,81.2
5775.158892509658,9457242898.970333,85.8875,81.3
5768.4708878761885,8155412983.245721,85.9875,81.35
5765.673476221666,8206122126.068697,86.0,81.25
5760.608734187965,6790075515.425959,85.96249999999999,81.2
5761.279957439382,7738112113.296254,85.8625,81.05
5761.810704822664,8508822475.384177,85.95,81.0
5778.234543618985,16578024404.127579,86.05000000000001,81.35
5768.71893170439,12751207783.862438,86.175,81.25
5764.298414566434,11313041122.171165,86.1375,81.10000000000001
5760.415172210732,10285042954.947628,86.2,81.05
5753.53278528145,8899128847.405994,86.2125,80.80000000000001
5749.075875690718,7720503360.527821,86.2875,80.95
5746.847888011158,8980714188.099476,86.35000000000001,80.9
5739.27166708121,9292532032.395536,86.5375,80.9
5743.459944803783,14914844407.721,86.4875,80.55
5718.514055984631,9733046593.716074,86.52499999999999,79.95
5707.347674225604,7954968193.652457,86.5,80.05
5703.713074180241,8262832465.2444725,86.4375,79.95
5695.53233109475,7806776934.263207,86.46249999999999,79.9
5696.048387032169,10751637777.780954,86.5625,79.9
5680.033259591538,8646641807.204575,86.55000000000001,80.2
5678.007991197043,8819560487.879215,86.6125,80.0
5675.672313021186,9370256153.09245,86.58749999999999,80.10000000000001
5671.937864065785,8859710712.004932,86.52499999999999,80.0
5672.95877586346,10318643330.358694,86.55000000000001,80.2
5665.18810996371,7920136043.933258,86.6125,80.10000000000001
5665.941017187148,8368040849.575535,86.6375,80.0
5663.4189605505535,7835822037.137461,86.725,80.05
5668.5119523773565,9689942573.583632,86.7875,79.75
5667.415430912448,9448528857.560528,86.7625,79.55
5665.499518708398,8915465014.06578,86.7125,79.7
5665.406688984161,9085464773.211468,86.6625,79.65
5661.85124791876,7628475347.1846695,86.725,79.95
5663.595510049074,8527450126.227709,86.75,79.80000000000001
5663.875512486975,8710549015.944906,86.7125,79.75
5663.967570509836,8759922895.356699,86.6875,79.7
5665.35954168345,9268002816.85179,86.7125,79.7
5664.385657855236,8824146680.562218,86.6625,79.80000000000001
5663.740994201366,8438882758.273102,86.675,79.75
5664.557346904248,8544973935.212053,86.675,79.7
5663.7134653569565,8287520013.991,86.6125,79.65
5664.124291455796,8425698864.798813,86.6125,79.75
5664.490955303653,8618044100.434319,86.6625,79.75
5664.417982702932,8738059653.67681,86.6875,79.80000000000001
5664.8868919585775,9109450870.12094,86.6875,79.80000000000001
5663.863056731585,8880523410.017176,86.7,79.80000000000001
5663.093330413107,8656784898.326996,86.65,79.75
5662.8364888616625,8558085985.195522,86.65,79.80000000000001
5662.7961713484665,8514905688.023247,86.65,79.80000000000001
5663.1838373612745,8503117218.306364,86.65,79.80000000000001
5662.884971979927,8331818675.3191185,86.6625,79.75
5663.709130408539,8463773396.077402,86.65,79.75
5664.057433546671,8361751451.763338,86.6875,79.80000000000001
5665.172877186424,8677552332.123957,86.6875,79.75
5664.943006212179,8682270957.854752,86.7,79.75
5663.731869417099,8350578996.060982,86.7375,79.75
5663.873594202416,8631106153.942642,86.75,79.75
5663.853646039423,8850727781.026152,86.8,79.80000000000001
5663.371528349299,8919360785.9972,86.7875,79.75
5661.87294734896,8749647680.75123,86.8125,79.80000000000001
5660.488563930134,8621559842.81294,86.825,79.65
5661.041990032399,8679988398.011042,86.8,79.75
5661.081692222878,8242983266.276738,86.75,79.7
5661.162792173926,8431821291.739548,86.775,79.65
5660.5915721065185,8475745919.401652,86.725,79.7
5661.546070528149,8754215317.202011,86.675,79.75
5661.131522260839,8722533936.977379,86.6625,79.7
5661.123535565262,8715227587.856356,86.65,79.65
5661.045742630044,8609381189.36584,86.6625,79.65
5661.677395763408,8665835258.28747,86.6875,79.55
5661.66377603993,8306176699.250539,86.7625,79.5
5664.272863541776,8936138758.823795,86.65,79.65
5663.987821932867,8646268928.077269,86.65,79.60000000000001
5663.8786512565475,8559555641.370617,86.6625,79.7
5663.8555617122165,8599041411.476229,86.6625,79.75
5663.671511541614,8717801170.085133,86.7,79.9
5662.853282021329,8791157007.247639,86.7125,79.95
5664.250630390404,10074681765.236122,86.7625,80.05
5660.898711168815,9318307051.20604,86.775,80.05
5657.240718773129,8532233175.013221,86.8125,79.65
5656.700876750518,8430628320.809108,86.8125,79.60000000000001
5657.184370074941,8501247970.671615,86.8,79.55
5659.243975675337,9046475791.288994,86.8125,79.60000000000001
5659.780574154664,8773866534.143478,86.75,79.55
5660.99242096936,8876681748.66666,86.7625,79.7
5660.778010112851,8765134595.980955,86.8125,79.5
5661.025402464191,9182429242.77888,86.7875,79.7
5657.722431392078,8703995992.318607,86.8,79.60000000000001
5654.908266219252,8022689077.007405,86.7375,79.80000000000001
5654.398786482938,8820251860.409264,86.7875,79.9
5653.17711361814,8582643244.257147,86.7375,79.65
5653.055740521912,8646815443.595646,86.75,79.60000000000001
5648.52983743046,7753817206.261475,86.65,79.9
5649.275613872653,8076026897.446128,86.7125,79.85
5651.539413562126,8744533077.737944,86.7375,79.9
5651.5183566039095,8572935443.558393,86.7875,79.9
5651.542897992771,8521999581.556187,86.775,79.9
5651.504874759255,8445929188.771723,86.725,79.95
5651.2760722689545,8325211796.636425,86.725,79.85
5650.739511414796,8214290806.93447,86.7375,79.85
5651.1962312015685,8566204249.49517,86.7125,79.80000000000001
5650.1684120029895,8414396202.684475,86.7125,79.9
5649.83120409682,8464239096.533409,86.725,79.95
5649.694331605428,8545956986.766343,86.7,79.95
5649.482162084194,8585142070.844307,86.725,80.05
5649.094545943494,8620577729.604576,86.7125,80.10000000000001
5649.31082187921,8729710251.172089,86.75,80.05
5648.741599531791,8630856108.34161,86.7,80.10000000000001
5648.63936458217,8552133057.800362,86.7375,80.0
5648.3663315336025,8419957239.709571,86.7375,79.95
5648.659422504329,8460696288.213493,86.725,79.95
5648.585927573276,8353353345.15617,86.725,79.95
5648.865140281742,8434346795.360764,86.725,79.95
5649.256334265311,8584531652.212881,86.725,79.85
5649.1577308895185,8607511199.155031,86.775,79.9
5648.696065404963,8549614108.242094,86.8,79.9
5647.951398145935,8447856837.803668,86.8,79.85
5647.857438458595,8493860570.516389,86.8,79.85
5647.7309697767505,8438611743.1779175,86.825,79.9
5647.846980423995,8461515012.389174,86.8375,79.9
5647.974494118277,8497132511.117395,86.8375,79.9
5648.083579630066,8531945428.645893,86.8125,79.9
5648.18003042927,8566999927.65914,86.8,79.9
5648.197025810451,8587948980.72443,86.8,79.9
5647.823036895912,8434417214.969389,86.7625,79.9
5647.901698896883,8521869274.905228,86.8,79.80000000000001
5647.774146321976,8492891741.992361,86.8,79.80000000000001
5647.67849074808,8452886069.983744,86.7875,79.85
5647.655337182809,8442211075.158753,86.7875,79.85
5647.816666687298,8469085685.075353,86.775,79.85
5647.86759759445,8515542929.760602,86.7625,79.85
5647.929701226553,8530276104.112099,86.775,79.85
5647.914336832908,8537057516.535172,86.775,79.9
5647.658470921875,8489176899.217669,86.775,79.9
5647.419166124967,8476997717.904692,86.7625,79.9
5646.751384101432,8141603615.543139,86.7375,80.0
5647.394300766588,8429363920.848574,86.75,80.0
5647.800659059588,8536887157.985603,86.7625,80.0
5648.0097356385695,8557934368.932597,86.775,80.0
5647.942394618524,8500889332.521275,86.8125,79.95
5648.21467721277,8447213817.197564,86.8375,79.9
5648.081662586306,8405154564.597291,86.825,79.95
5647.904868484511,8374678997.690768,86.825,79.95
5647.7149254193255,8364090585.037186,86.825,79.95
5648.345466289278,8511293616.516773,86.8375,79.9
5648.100172374299,8501496257.486631,86.8375,79.9
5648.046130813203,8535313731.079725,86.775,79.85
5647.6705144367415,8541020823.786615,86.7875,79.95
5647.119293374194,8549239647.119456,86.7625,79.95
5646.710307917315,8523648025.599116,86.7625,80.0
5645.80187891544,8388684045.40332,86.7625,80.05
5646.390516417292,8633802321.99335,86.7875,80.05
5646.376260892536,8568783572.628578,86.7875,80.05
5646.645027827179,8528620376.030058,86.8,80.0
5646.775021475922,8476899669.613322,86.8125,80.0
5647.274024948041,8430467769.9524,86.8125,80.05
5647.437088307454,8392373394.459198,86.7625,80.05
5647.949052168831,8446195436.4104,86.8125,80.0
5648.096431987394,8524157256.366409,86.825,80.0
5648.07122484742,8559688216.781085,86.7875,80.0
5647.992647521062,8584556662.899788,86.775,79.95
5647.681613090283,8590603729.60067,86.75,80.0
5647.7714457089905,8813638415.499113,86.8375,79.9
5646.641694068316,8516222526.075392,86.8125,79.9
5646.686815753613,8492619157.782433,86.85000000000001,79.9
5646.721894593742,8466465161.414323,86.8375,79.95
5646.693139480517,8461691960.07009,86.85000000000001,79.95
5646.552795982608,8459304721.909075,86.8125,79.95
5646.389094090921,8475264451.235572,86.8375,79.95
5646.242499666264,8460883800.721263,86.8125,79.95
5645.9929944839505,8496685325.463674,86.8125,79.95
5645.8812921561785,8525160414.576395,86.8625,79.95
5645.970492866277,8539795123.414242,86.875,79.95
5646.1439261799005,8532626195.694866,86.85000000000001,79.95
5646.97127398091,8730152542.257154,86.85000000000001,79.95
5647.101049209487,8611369843.800812,86.875,79.95
5647.230309469915,8525966575.012251,86.8625,79.95
5647.264444869927,8501518365.015565,86.8625,79.9
5647.245952489138,8485578840.895246,86.8625,79.85
5647.150663859279,8504882409.919431,86.875,79.85
5647.096191202988,8549354563.13011,86.85000000000001,79.95
5646.915226824019,8544836184.622447,86.875,79.95
5646.696952708427,8523255426.695726,86.8625,79.95
5646.642991919424,8505621056.574182,86.8625,79.95
5646.665679037956,8491704592.195615,86.8625,79.95
5646.847916585522,8454955566.806804,86.8625,79.9
5647.057726044527,8501393003.890304,86.875,79.85
5646.88176983671,8438276174.049379,86.88749999999999,79.95
5647.095454128551,8497037005.106861,86.91250000000001,79.95
5647.119759751195,8512535960.31755,86.88749999999999,79.95
5647.067118314319,8510306592.708952,86.9,79.85
5646.994696664198,8520724818.89536,86.88749999999999,79.85
5646.933118689853,8512405949.811891,86.875,79.85
5646.856647435973,8503002554.56797,86.875,79.85
5646.734372116498,8491074030.863678,86.85000000000001,79.85
5646.5925200894435,8481471939.731333,86.85000000000001,79.80000000000001
5646.4891174476825,8480656893.6132765,86.8625,79.80000000000001
5646.527200094834,8491373463.878759,86.8625,79.80000000000001
5646.736439536566,8505517726.841922,86.875,79.9
5646.969616424286,8573864216.394247,86.88749999999999,79.9
5646.8622079986935,8510272380.156368,86.9,79.9
5646.8696076426295,8511227920.84667,86.9,79.9
5646.893645701839,8499745284.000368,86.91250000000001,79.9
5646.849923768158,8503257119.388771,86.91250000000001,79.9
5647.105690466787,8555467366.651887,86.8625,79.85
5646.615886052441,8512013672.06821,86.9,79.80000000000001
5646.4547037101165,8502019309.3522,86.9,79.80000000000001
5646.275814621501,8491402752.368156,86.9,79.80000000000001
5646.081912681481,8478271618.370431,86.88749999999999,79.80000000000001
5646.097906082151,8474461473.429533,86.9,79.80000000000001
5646.209236860992,8513403935.839652,86.875,79.80000000000001
5646.203064898159,8411969169.250412,86.91250000000001,79.80000000000001
5647.18069057854,8615818636.158005,86.875,79.7
5646.832882696903,8515286230.242337,86.9,79.7
5646.806170793941,8496383294.521857,86.91250000000001,79.7
5646.794452393442,8467516532.432767,86.88749999999999,79.7
5646.752851438283,8440342107.337372,86.88749999999999,79.7
5646.617116037414,8432326559.875261,86.9,79.75
5646.5958662054345,8407322609.778608,86.88749999999999,79.7
5646.545094284384,8445732387.329462,86.9,79.7
5646.496712413711,8475234812.29217,86.91250000000001,79.75
5646.345343362476,8492800756.563458,86.88749999999999,79.75
5646.368720097042,8527234728.126495,86.875,79.75
5646.316339663435,8507309451.776731,86.875,79.75
5646.283151380948,8481081396.864176,86.875,79.75
5646.357975737493,8470733516.117021,86.88749999999999,79.75
5646.022429271844,8373360003.393772,86.88749999999999,79.80000000000001
5646.387455094097,8433716177.691418,86.875,79.80000000000001
5646.6382579104375,8481581564.190231,86.875,79.75
5646.694516789355,8500448338.652641,86.875,79.75
5646.678634679555,8491358088.632082,86.88749999999999,79.7
5646.644846995966,8489059388.720035,86.88749999999999,79.75
5646.58338466121,8489669015.367231,86.875,79.75
5646.425429566284,8489274663.886848,86.88749999999999,79.80000000000001
5646.409639357656,8471847794.691828,86.875,79.85
5646.358041122319,8470291438.717038,86.9,79.85
5646.406461276524,8478108983.798689,86.9,79.85
5646.54851623292,8475976510.309697,86.9,79.85
5646.6445872589775,8505280467.034713,86.9,79.85
5646.630678118035,8499211063.786678,86.9,79.85
5646.566492414494,8481154321.347597,86.875,79.85
5646.566420183497,8485259552.312716,86.875,79.85
5646.541693742027,8478605191.099831,86.875,79.85
5646.538620649762,8473635315.529976,86.875,79.85
5646.56896549714,8474505849.8958025,86.875,79.85
5646.622511313304,8478329631.0370245,86.875,79.85
5646.6690499427705,8462552964.908077,86.8625,79.85
5646.758524547212,8491548707.002319,86.8625,79.85
5646.689441372236,8485223872.355705,86.8625,79.85
5646.654350367064,8483894793.209804,86.8625,79.85
5646.602697523127,8468738335.358429,86.8625,79.85
5646.60430215452,8471022226.375641,86.8625,79.85
5646.602407501888,8477637734.966025,86.8625,79.80000000000001
5646.582222821353,8482900852.401464,86.8625,79.80000000000001
5646.608584486922,8496027633.559229,86.8625,79.80000000000001
5646.601305621025,8491247515.949508,86.8625,79.80000000000001
5646.59389261088,8484171288.516695,86.8625,79.80000000000001
5646.593659726361,8481068575.193726,86.8625,79.80000000000001
5646.596444318931,8473032898.055194,86.8625,79.80000000000001
5646.61090721414,8469891318.421483,86.8625,79.80000000000001
5646.611761528785,8454851797.016405,86.8625,79.80000000000001
5646.8230403131865,8520581103.788984,86.85000000000001,79.85
5646.701706766264,8489525185.390041,86.8625,79.85
5646.67284078359,8483225831.592391,86.8625,79.85
5646.65950398236,8481065358.8305235,86.8625,79.85
5646.5876450555725,8468202895.747392,86.8625,79.85
5646.549886709241,8452617159.461981,86.8625,79.85
5646.583899774749,8471988330.999387,86.8625,79.85
5646.616513482038,8481429462.606587,86.8625,79.85
5646.649685102182,8488959404.161842,86.8625,79.85
5646.664896596743,8489300117.1901,86.85000000000001,79.85
5646.665439745012,8482708250.604631,86.85000000000001,79.85
5646.710564022919,8474166620.254592,86.85000000000001,79.85
5646.673577825053,8453298668.379105,86.85000000000001,79.80000000000001
5646.786038605717,8485196913.536213,86.8625,79.75
5646.749707403047,8475023497.264645,86.8625,79.75
5646.743963228417,8473780449.093139,86.8625,79.75
5646.7367065889575,8472751031.8809,86.8625,79.75
5646.745688283696,8478872721.114283,86.8625,79.75
5646.7401797680395,8479750897.558726,86.8625,79.75
5646.682228753057,8470839565.697792,86.8625,79.75
5646.642948259611,8471114739.76444,86.8625,79.75
5646.617592587179,8476372716.280993,86.8625,79.75
5646.63787874904,8472655409.20709,86.8625,79.75
5646.65879752408,8487670300.206322,86.8625,79.75
5646.648516462081,8482999038.785963,86.8625,79.75
5646.659513962151,8480494505.126574,86.8625,79.75
5646.61778233564,8471770218.813852,86.8625,79.80000000000001
5646.625918772746,8473643916.055994,86.8625,79.80000000000001
5646.625770562588,8476771822.073925,86.8625,79.80000000000001
5646.619465674659,8480145789.592224,86.8625,79.80000000000001
5646.581090296484,8476583683.413136,86.8625,79.80000000000001
5646.572129589018,8485617590.4674,86.8625,79.80000000000001
5646.549957386307,8484910286.587487,86.8625,79.80000000000001
5646.524185166708,8478745458.099951,86.85000000000001,79.80000000000001
5646.5249802362805,8477385921.642287,86.85000000000001,79.80000000000001
5646.513589164613,8465215242.331231,86.85000000000001,79.80000000000001
5646.541673031777,8467291825.580395,86.85000000000001,79.80000000000001
5646.679367017402,8490973208.654896,86.85000000000001,79.80000000000001
5646.656806200925,8482182033.207299,86.85000000000001,79.80000000000001
5646.66010549776,8478964822.702096,86.85000000000001,79.80000000000001
5646.67927236963,8477647857.74516,86.8375,79.80000000000001
5646.686508478474,8478119540.982822,86.8375,79.80000000000001
5646.609067950842,8453744128.112809,86.8375,79.75
5646.66000855761,8470049610.228301,86.8375,79.75
5646.66287283369,8475512626.386221,86.8375,79.75
5646.653179462758,8477437775.999799,86.8375,79.75
5646.68566253303,8504933578.519377,86.8375,79.80000000000001
5646.671078847691,8490053516.99233,86.85000000000001,79.80000000000001
5646.672796011153,8475615599.111492,86.85000000000001,79.80000000000001
5646.688640730716,8469210322.360592,86.85000000000001,79.80000000000001
5646.712001314186,8468207877.296028,86.85000000000001,79.80000000000001
5646.542292350609,8439397431.715466,86.8375,79.80000000000001
5646.662337555837,8462598966.208435,86.8375,79.80000000000001
5646.651541090985,8469395111.393995,86.8375,79.80000000000001
5646.634571735782,8475961572.468701,86.8375,79.80000000000001
5646.628007625276,8477825784.632362,86.8375,79.80000000000001
5646.608467145535,8483324450.630741,86.8375,79.80000000000001
5646.579756806739,8480365875.90238,86.8375,79.80000000000001
5646.626063104091,8499481282.692194,86.8375,79.80000000000001
5646.610286338889,8486755185.2341385,86.8375,79.80000000000001
5646.627286442077,8478646700.117257,86.8375,79.80000000000001
5646.639826027973,8475482702.02524,86.8375,79.80000000000001
5646.669573832032,8475233053.80155,86.8375,79.80000000000001
5646.612627713042,8460996765.5327835,86.8375,79.80000000000001
5646.663508981562,8466800475.112755,86.8375,79.80000000000001
5646.673416847168,8477171028.1076355,86.8375,79.80000000000001
5646.6738405461065,8481000650.576302,86.8375,79.80000000000001
5646.65698607018,8485379518.460713,86.8375,79.80000000000001
5646.650628835272,8487528941.718697,86.8375,79.80000000000001
5646.62502355852,8493812739.273729,86.8375,79.80000000000001
5646.557842019887,8464149308.552147,86.85000000000001,79.80000000000001
5646.605250174911,8484307225.787857,86.8375,79.75
5646.630479936115,8487185991.72034,86.8375,79.75
5646.641772594923,8483214916.581068,86.8375,79.75
5646.646304293772,8477879756.849809,86.8375,79.75
5646.720581516288,8488739918.983832,86.8375,79.75
5646.649767661882,8476656653.985611,86.8375,79.75
5646.657155979758,8480546634.750091,86.8375,79.75
